,City,Latitude,Longitude,Temperature,Humidity,cloudiness,windspeed,Country,Dates
103,Valparaíso,-33.0393,-71.6273,55.63,94,0,3.44,CL,1619829947
104,Yurginskoye,56.8189,67.3921,35.2,51,0,9.93,RU,1619829948
105,Julfa,38.9558,45.6308,63.21,66,97,4.16,AZ,1619829948
106,Constitución,-35.3333,-72.4167,57.0,85,100,11.25,CL,1619829845
107,Taoudenni,22.6783,-3.9836,77.58,52,100,11.12,ML,1619829949
108,Saldanha,-33.0117,17.9442,53.6,76,0,2.3,ZA,1619829950
109,Yatou,37.15,122.3833,54.25,55,0,13.65,CN,1619829950
110,Bodden Town,19.2833,-81.25,81.45,78,20,3.44,KY,1619829951
111,Saint-Pierre,-21.3393,55.4781,70.2,78,0,6.91,RE,1619829951
112,Mehamn,71.0357,27.8492,33.39,64,98,23.94,NO,1619829952
113,Mae Hong Son,19.3003,97.9685,77.0,88,75,1.05,TH,1619829952
114,Avarua,-21.2078,-159.775,82.4,69,75,6.91,CK,1619829952
115,Yellowknife,62.456,-114.3525,33.26,86,90,6.91,CA,1619829827
116,Hilo,19.7297,-155.09,77.94,51,1,12.66,US,1619829804
117,Ordynskoye,54.3656,81.8994,45.84,58,25,7.29,RU,1619829953
118,Takoradze,4.8845,-1.7554,80.98,80,100,6.8,GH,1619829954
119,Iqaluit,63.7506,-68.5145,35.29,75,75,10.36,CA,1619829954
120,Jamestown,42.097,-79.2353,40.37,56,90,14.97,US,1619829954
121,High Prairie,55.4334,-116.4858,60.8,27,11,19.57,CA,1619829737
122,Clyde River,70.4692,-68.5914,19.4,100,90,4.61,CA,1619829955
123,Houma,29.5958,-90.7195,75.78,83,1,4.61,US,1619829791
124,Agde,43.3108,3.4758,54.97,100,90,3.44,FR,1619829956
125,Cidreira,-30.1811,-50.2056,68.83,72,0,17.31,BR,1619829845
126,Hobart,-42.8794,147.3294,62.56,55,75,11.5,AU,1619829859
127,Olafsvik,64.8945,-23.7142,33.78,69,67,28.81,IS,1619829956
128,São Filipe,14.8961,-24.4956,72.68,76,41,7.87,CV,1619829957
129,Arica,-18.475,-70.3042,66.2,72,0,2.1,CL,1619829958
130,Pimenta Bueno,-11.6725,-61.1936,72.19,85,35,1.5,BR,1619829958
131,Villa María,-32.4075,-63.2402,59.0,72,11,1.99,AR,1619829722
132,Vardø,70.3705,31.1107,32.88,90,100,21.0,NO,1619829959
133,Saint Paul Harbor,57.79,-152.4072,48.2,66,1,10.36,US,1619829957
134,Salalah,17.0151,54.0924,82.4,78,40,2.3,OM,1619829692
135,Troitskoye,52.9821,84.6757,45.27,63,100,3.09,RU,1619829959
136,Pointe-Noire,-4.7761,11.8635,78.8,89,20,2.3,CG,1619829960
137,Dunedin,-45.8742,170.5036,57.0,57,17,8.99,NZ,1619829960
138,Saint George,37.1041,-113.5841,92.21,9,1,4.61,US,1619829906
139,Bousso,10.4795,16.7117,86.67,43,9,5.66,TD,1619829961
140,Kisangani,0.5167,25.2,70.68,97,100,0.6,CD,1619829961
141,Qaanaaq,77.484,-69.3632,29.93,60,100,7.2,GL,1619829847
142,Te Anau,-45.4167,167.7167,50.97,67,8,1.01,NZ,1619829962
143,Ürümqi,43.801,87.6005,77.0,14,0,15.66,CN,1619829962
144,Stepnyak,52.8339,70.7803,39.61,61,0,14.79,KZ,1619829962
145,Sayyan,15.1718,44.3244,58.84,64,100,3.62,YE,1619829963
146,Tiznit Province,29.5833,-9.5,53.65,74,69,6.31,MA,1619829963
147,Newport,51.5877,-2.9984,40.66,83,42,6.87,GB,1619829964
148,Nador,35.174,-2.9287,58.39,72,20,6.91,MA,1619829965
149,Matara,5.9485,80.5353,77.76,86,47,1.52,LK,1619829966
150,Āsosa,10.0667,34.5333,64.78,72,44,4.09,ET,1619829966
151,Sola,-13.8833,167.55,78.8,94,90,16.37,VU,1619829967
152,Pevek,69.7008,170.3133,19.17,80,100,15.93,RU,1619829967
153,Rincon,32.296,-81.2354,76.91,31,40,9.22,US,1619829794
154,Souillac,-20.5167,57.5167,77.0,78,75,13.8,MU,1619829967
155,Ketchikan,55.3422,-131.6461,43.29,95,100,4.16,US,1619829968
156,Amapá,1.0,-52.0,72.48,98,100,2.84,BR,1619829968
157,Gaya,24.7833,85.0,73.4,60,0,6.91,IN,1619829969
158,Leningradskiy,69.3833,178.4167,19.17,92,100,23.94,RU,1619829969
159,Abu Dhabi,24.4667,54.3667,79.83,69,0,3.44,AE,1619829683
160,Erechim,-27.6342,-52.2739,52.81,76,0,5.61,BR,1619829970
161,Huarmey,-10.0681,-78.1522,68.02,85,5,8.3,PE,1619829970
162,Kasempa,-13.4584,25.8338,63.19,91,94,2.1,ZM,1619829970
163,Mossamedes,-15.1961,12.1522,74.98,75,5,5.53,AO,1619829971
164,San Quintín,30.4833,-115.95,69.82,59,0,13.15,MX,1619829970
165,Kiama,-34.6833,150.8667,70.0,72,0,3.0,AU,1619829972
166,Mareeba,-17.0,145.4333,79.52,65,40,12.66,AU,1619829972
167,Vila Franca do Campo,37.7167,-25.4333,51.8,71,20,2.3,PT,1619829972
168,Nekhayevskiy,50.4106,41.7561,50.0,82,100,4.0,RU,1619829973
169,Touros,-5.1989,-35.4608,75.2,94,40,3.44,BR,1619829973
170,Aykhal,66.0,111.5,30.76,95,100,15.23,RU,1619829973
171,Cedar City,37.6775,-113.0619,80.35,10,1,5.01,US,1619829974
172,Abonnema,4.7084,6.7931,79.3,86,53,4.34,NG,1619829974
173,Hamilton,39.1834,-84.5333,53.65,30,1,11.5,US,1619829771
174,Chapais,49.7834,-74.8492,35.6,75,90,24.16,CA,1619829975
175,Poum,-20.2333,164.0167,76.87,67,94,8.99,NC,1619829975
176,Manacapuru,-3.2997,-60.6206,77.0,94,0,1.16,BR,1619829975
177,Sterling,39.0062,-77.4286,50.67,62,75,19.57,US,1619829683
178,Kavaratti,10.5669,72.642,83.88,75,20,8.43,IN,1619829976
179,San Cristobal,7.7669,-72.225,75.2,100,75,4.61,VE,1619829976
180,Provideniya,64.3833,-173.3,28.74,75,100,5.95,RU,1619829977
181,Karratha,-20.7377,116.8463,86.86,30,0,10.92,AU,1619829977
182,Lebu,-37.6167,-73.65,56.43,92,100,21.85,CL,1619829977
183,Dawei,14.0833,98.2,80.38,80,86,2.64,MM,1619829978
184,Grindavik,63.8424,-22.4338,33.8,75,20,21.85,IS,1619829978
185,Lorengau,-2.0226,147.2712,86.22,62,50,0.85,PG,1619829978
186,Makakilo City,21.3469,-158.0858,80.67,61,90,11.5,US,1619829979
187,Saint-Philippe,-21.3585,55.7679,69.4,78,0,6.91,RE,1619829979
188,Guerrero Negro,27.9769,-114.0611,74.23,43,0,17.83,MX,1619829856
189,Codrington,-38.2667,141.9667,70.32,41,100,15.32,AU,1619829846
190,Upernavik,72.7868,-56.1549,25.07,79,100,4.92,GL,1619829935
191,Coquimbo,-29.9533,-71.3436,57.2,88,0,4.52,CL,1619829796
192,Chokurdakh,70.6333,147.9167,20.28,82,8,5.93,RU,1619829980
193,Arsk,56.0915,49.8778,48.2,49,0,17.9,RU,1619829980
194,Sāvantvādi,15.9,73.8167,78.51,73,66,0.29,IN,1619829981
195,Spirit River,55.7833,-118.8361,56.61,41,89,24.16,CA,1619829981
196,Padang,-0.9492,100.3543,78.8,94,20,2.3,ID,1619829982
197,Kaliua,-5.0606,31.7936,66.25,86,100,3.65,TZ,1619829983
198,Ikwiriri,-7.9562,38.9716,72.54,98,100,2.13,TZ,1619829983
199,Mékhé,15.1097,-16.6218,71.83,60,0,9.22,SN,1619829984
200,Riyadh,24.6877,46.7219,80.65,12,0,4.61,SA,1619829984
201,Nikolskoye,59.7035,30.7861,32.74,80,0,4.47,RU,1619829831
202,Belmonte,-15.8631,-38.8828,71.6,88,90,6.91,BR,1619829985
203,Bereda,43.2686,-7.5406,39.0,97,99,1.99,ES,1619829985
204,Guaymas,27.9333,-110.9,88.61,32,20,18.41,MX,1619829973
205,Ulladulla,-35.35,150.4667,67.01,64,0,5.75,AU,1619829985
206,Cayenne,4.9333,-52.3333,76.82,100,75,10.47,GF,1619829840
207,Mitrovice,42.8833,20.8667,55.4,62,75,3.44,XK,1619829986
208,Longyan,25.1072,117.0225,79.59,47,100,1.39,CN,1619829986
209,Yaan,7.3833,8.5667,80.85,73,100,11.1,NG,1619829987
210,Sioux Lookout,50.1001,-91.917,51.8,25,75,8.05,CA,1619829736
211,Rio Grande,-32.035,-52.0986,63.0,90,0,13.73,BR,1619829987
212,Bandarbeyla,9.4942,50.8122,82.38,74,100,1.81,SO,1619829987
213,Itoman,26.1247,127.6694,75.88,83,75,13.8,JP,1619829782
214,Tura,25.5198,90.2201,78.89,50,7,3.8,IN,1619829927
215,Madridejos,39.4682,-3.532,47.59,87,96,1.01,ES,1619829988
216,Chany,55.3121,76.7647,38.19,84,100,14.05,RU,1619829989
217,Labranzagrande,5.5622,-72.575,64.33,95,98,3.0,CO,1619829989
218,Saint-Benoît,-21.038,55.7194,69.8,83,40,14.97,RE,1619829990
219,Shimoda,34.6667,138.95,65.57,72,20,4.61,JP,1619829990
220,Oussouye,12.485,-16.5469,73.36,83,0,13.8,SN,1619829990
221,Aguachica,8.3084,-73.6166,74.21,91,100,3.8,CO,1619829991
222,Maningrida,-12.0667,134.2667,82.98,61,3,11.34,AU,1619829991
223,Shache,38.4167,77.2406,66.88,18,0,9.13,CN,1619829991
224,Charlestown,-32.95,151.6667,71.6,73,2,4.38,AU,1619829992
225,Najrān,17.4924,44.1277,77.0,29,75,2.3,SA,1619829992
226,Caçador,-26.7753,-51.015,51.64,92,0,4.0,BR,1619829993
227,Faya,18.3851,42.4509,63.5,48,20,4.61,SA,1619829993
228,Arroyo de la Encomienda,41.6096,-4.7969,43.36,93,90,6.91,ES,1619829993
229,Mildura,-34.2,142.15,69.84,37,100,9.22,AU,1619829908
230,Palmer,42.1584,-72.3287,49.55,46,75,24.16,US,1619829994
231,Oodweyne,9.4092,45.064,68.27,89,100,15.75,SO,1619829994
232,Brae,60.3964,-1.353,35.6,87,20,6.91,GB,1619829995
233,Borogontsy,62.6683,131.1683,40.35,84,97,5.57,RU,1619829877
234,Norman Wells,65.282,-126.8329,48.2,31,20,12.66,CA,1619829995
235,Ubari,26.5921,12.7805,81.79,6,0,9.93,LY,1619829996
236,Flin Flon,54.7682,-101.865,38.71,84,15,5.23,CA,1619829996
237,Thompson,55.7435,-97.8558,32.0,100,90,5.75,CA,1619829996
238,Quimper,48.0,-4.1,41.0,81,0,5.75,FR,1619829997
239,Sawtell,-30.3833,153.1,66.65,83,77,6.91,AU,1619829997
240,Senigallia,43.7093,13.2167,60.71,82,40,1.14,IT,1619829998
241,Pisco,-13.7,-76.2167,65.68,82,0,11.5,PE,1619829925
242,Pontes e Lacerda,-15.2261,-59.3353,67.46,72,0,2.89,BR,1619829999
243,Loa Janan,-0.583,117.095,80.1,90,98,0.87,ID,1619829999
244,Kikwit,-5.041,18.8162,70.83,98,100,1.92,CD,1619829999
245,Dickinson,29.4608,-95.0513,71.89,88,90,9.22,US,1619830000
246,Hinckley,52.5389,-1.3761,40.32,81,40,5.75,GB,1619830000
247,Mar del Plata,-38.0023,-57.5575,61.74,77,0,10.36,AR,1619829748
248,Ziro,27.6333,93.8333,60.19,58,91,1.81,IN,1619830000
249,Xixiang,35.1628,112.865,64.45,39,1,5.1,CN,1619830001
250,Evensk,61.95,159.2333,33.93,93,37,7.67,RU,1619830001
251,Faanui,-16.4833,-151.75,81.48,69,99,8.97,PF,1619830001
252,Baharly,38.4362,57.4316,69.78,51,1,10.6,TM,1619830002
253,Atasū,48.6814,71.6433,44.29,50,3,7.58,KZ,1619830002
254,Luanda,-8.8368,13.2343,78.8,94,75,2.21,AO,1619830002
255,Tuktoyaktuk,69.4541,-133.0374,23.0,80,20,10.36,CA,1619830003
256,Zhangaözen,43.3,52.8,61.02,52,39,17.29,KZ,1619830003
257,Uvira,-3.4067,29.1458,70.74,85,100,4.29,CD,1619830003
258,Hervey Bay,-25.2986,152.8535,66.99,96,47,10.0,AU,1619829854
259,Udachny,66.4167,112.4,32.83,96,100,10.02,RU,1619830004
260,Los Llanos de Aridane,28.6585,-17.9182,59.34,59,20,12.66,ES,1619830004
261,Agartala,23.8364,91.275,77.0,78,40,9.64,IN,1619830005
262,Longyearbyen,78.2186,15.6401,12.2,62,20,19.57,SJ,1619830005
263,Puerto Colombia,10.9878,-74.9547,80.6,83,40,6.91,CO,1619829988
264,Treinta y Tres,-33.2333,-54.3833,56.39,78,100,7.54,UY,1619830006
265,Banda Aceh,5.5577,95.3222,81.03,77,77,6.44,ID,1619830006
266,Ulverstone,-41.15,146.1667,63.03,66,100,4.0,AU,1619830006
267,Shingū,33.7333,135.9833,62.6,82,75,24.16,JP,1619830007
268,Monrovia,6.3005,-10.7969,75.2,94,75,8.08,LR,1619830007
269,Hayden,47.766,-116.7866,68.07,32,20,10.36,US,1619830007
270,Acapulco de Juárez,16.8634,-99.8901,82.4,74,20,10.36,MX,1619829888
271,General Roca,-39.0333,-67.5833,55.4,82,0,4.41,AR,1619830008
272,George Town,5.4112,100.3354,76.77,94,20,4.61,MY,1619830009
273,Pangnirtung,66.1451,-65.7125,31.19,80,1,7.96,CA,1619830010
274,Mumford,5.2618,-0.759,82.08,78,100,6.58,GH,1619830010
275,Marzuq,14.4,46.4667,73.53,64,94,2.08,YE,1619830010
276,Muros,42.7762,-9.0603,42.85,88,12,8.52,ES,1619830011
277,Dukat,62.55,155.55,27.84,84,98,3.06,RU,1619830011
278,Gayny,60.3071,54.3241,39.83,91,100,14.16,RU,1619830012
279,Inongo,-1.95,18.2667,72.91,93,100,2.04,CD,1619830012
280,Pitimbu,-7.4706,-34.8086,75.2,100,20,5.75,BR,1619830012
281,Gouyave,12.1646,-61.7296,78.8,83,40,11.5,GD,1619830013
282,Bengkulu,-3.8004,102.2655,78.17,81,100,3.22,ID,1619829722
283,Baykit,61.67,96.37,36.37,95,100,5.19,RU,1619830014
284,Inuvik,68.3499,-133.7218,34.68,64,100,6.91,CA,1619830014
285,Oudtshoorn,-33.5907,22.2014,50.0,87,0,3.44,ZA,1619830015
286,Lompoc,34.6391,-120.4579,56.05,87,90,11.5,US,1619830015
287,Dalvik,65.9702,-18.5286,32.0,93,90,6.91,IS,1619830015
288,Kavieng,-2.5744,150.7967,84.61,66,83,4.56,PG,1619830016
289,Derzhavīnsk,51.1,66.3167,44.29,62,5,5.86,KZ,1619830016
290,Eidsvåg,62.7767,8.0668,34.7,80,40,2.04,NO,1619830017
291,Vostok,46.4856,135.8833,50.14,44,0,6.82,RU,1619830017
292,São Félix do Xingu,-6.6447,-51.995,71.98,91,80,2.73,BR,1619830018
293,Santa Rosa,14.3122,121.1114,85.98,66,20,5.75,PH,1619829937
294,Parabel',58.6978,81.4825,39.16,79,19,9.75,RU,1619830018
295,Naze,28.3667,129.4833,75.2,78,75,21.85,JP,1619830019
296,Haines Junction,60.7522,-137.5108,46.4,42,100,14.97,CA,1619829858
297,Ankpa,7.3706,7.6253,76.6,80,82,9.51,NG,1619830019
298,Sinnamary,5.3833,-52.95,75.47,92,100,10.83,GF,1619829881
299,Tigil',57.8,158.6667,41.31,74,91,6.98,RU,1619829823
300,Dongsheng,39.8161,109.9776,51.06,30,100,6.26,CN,1619830020
301,Mount Gambier,-37.8333,140.7667,60.8,51,100,12.66,AU,1619830020
302,Kristiansund,63.1115,7.732,33.8,80,40,2.68,NO,1619830020
303,Ierapetra,35.01,25.7353,73.08,52,0,4.61,GR,1619830021
304,San Ignacio,17.1561,-89.0714,91.4,52,20,9.22,BZ,1619830021
305,Águilas,37.4063,-1.5829,57.79,63,100,5.99,ES,1619829796
306,Bathsheba,13.2167,-59.5167,78.8,65,40,12.66,BB,1619829992
307,Cap Estate,14.0833,-60.95,78.96,69,20,12.66,LC,1619830022
308,Talnakh,69.4865,88.3972,23.34,81,13,2.77,RU,1619830022
309,Zeya,53.75,127.2667,44.87,41,100,1.16,RU,1619829803
310,Antofagasta,-23.65,-70.4,60.8,82,40,9.22,CL,1619829963
311,Luoyang,34.6836,112.4536,62.89,43,0,5.77,CN,1619829850
312,Inta,66.0317,60.1659,31.71,63,70,12.15,RU,1619830023
313,Anloga,5.7947,0.8973,82.4,83,20,8.05,GH,1619830023
314,Chanderi,24.7167,78.1333,85.78,15,92,4.65,IN,1619830024
315,Kumul,42.8,93.45,75.69,11,67,8.21,CN,1619830024
316,Payakumbuh,-0.2202,100.6308,73.83,92,88,0.49,ID,1619830025
317,Weatherford,32.7593,-97.7972,63.7,94,100,3.0,US,1619829738
318,Vao,-22.6667,167.4833,74.46,70,100,23.47,NC,1619830025
319,Katsuura,35.1333,140.3,67.46,72,40,6.91,JP,1619829986
320,Amānganj,24.4333,80.0333,86.95,16,97,2.46,IN,1619830026
321,Kandrian,-6.2167,149.55,85.66,67,43,7.36,PG,1619830026
322,Hofn,64.2539,-15.2082,35.8,64,100,9.86,IS,1619830027
323,Liverpool,53.4106,-2.9779,40.15,87,31,4.61,GB,1619830027
324,Craig,40.5153,-107.5464,76.32,14,1,6.91,US,1619829790
325,Taretán,19.3333,-101.9167,75.02,41,90,6.91,MX,1619830028
326,Dosso,13.049,3.1937,87.94,19,2,4.68,NE,1619830028
327,Itarema,-2.9248,-39.9167,77.04,88,37,8.12,BR,1619830028
328,Ust-Nera,64.5667,143.2,37.06,98,95,1.74,RU,1619830029
329,Changli,39.7042,119.1506,55.53,40,100,8.7,CN,1619830029
330,Sakakah,29.9697,40.2064,75.2,16,0,14.97,SA,1619830030
331,Lianzhou,24.7811,112.3825,76.44,64,99,0.13,CN,1619830030
332,Pinega,64.7001,43.3936,32.9,83,100,3.24,RU,1619830031
333,Darhan,49.4867,105.9228,48.33,40,100,10.0,MN,1619830031
334,Coyhaique,-45.5752,-72.0662,50.0,87,75,4.61,CL,1619829878
335,Bushenyi,-0.5853,30.2114,56.66,93,100,0.38,UG,1619830032
336,Mogadishu,2.0371,45.3438,81.79,71,19,8.57,SO,1619830032
337,Dūsi,12.7667,79.6833,80.6,83,40,3.56,IN,1619830033
338,Bradford,53.7939,-1.7521,37.4,50,13,3.87,GB,1619830033
339,Torbay,47.6666,-52.7314,36.28,100,90,14.97,CA,1619829950
340,Qaqortoq,60.7167,-46.0333,50.0,29,34,24.16,GL,1619830034
341,Nabire,-3.3667,135.4833,85.48,65,84,2.42,ID,1619830034
342,Vanavara,60.34,102.2797,38.71,72,15,9.26,RU,1619830035
343,Boyolangu,-8.1181,111.8935,79.83,80,92,1.79,ID,1619830036
344,Knysna,-34.0363,23.0471,50.0,87,0,3.44,ZA,1619830036
345,Valera,9.3178,-70.6036,70.83,92,100,3.0,VE,1619830037
346,Parkes,-33.1333,148.1833,75.0,45,0,3.0,AU,1619830037
347,Jackson,42.4165,-122.8345,76.3,15,1,10.36,US,1619829914
348,Guasdualito,7.2424,-70.7324,71.01,97,100,1.36,VE,1619830038
349,Palana,59.1167,159.9667,30.43,89,94,6.96,RU,1619830038
350,Nouadhibou,20.931,-17.0347,65.71,91,0,19.24,MR,1619829995
351,Aklavik,68.2191,-135.0107,34.65,64,100,6.91,CA,1619829739
352,Ribeira Grande,38.5167,-28.7,60.06,77,100,10.89,PT,1619830039
353,Rawlins,41.7911,-107.2387,75.2,11,1,17.27,US,1619829961
354,Radovitskiy,55.1282,39.7956,50.0,100,100,9.8,RU,1619830039
355,Kununurra,-15.7667,128.7333,86.0,35,0,6.91,AU,1619829892
356,Voh,-20.9667,164.7,80.49,55,94,6.15,NC,1619830040
357,Sakété,6.7362,2.6587,84.2,79,20,11.5,BJ,1619830040
358,Serramanna,39.4244,8.9244,61.36,88,0,2.3,IT,1619830041
